fecha,hora,zona,precio,energia,congestion
01/04/2020,1,CANCUN,897.55,518.12,231.15
01/04/2020,2,CANCUN,870.99,499.13,238.07
01/04/2020,3,CANCUN,852.32,475.58,259.21
01/04/2020,4,CANCUN,779.46,470.62,199.34
01/04/2020,5,CANCUN,983.23,466.05,416.27
01/04/2020,6,CANCUN,763.56,469.17,191.65
01/04/2020,7,CANCUN,557.87,464.68,-0.99
01/04/2020,8,CANCUN,566.3,468.45,-1.37
01/04/2020,9,CANCUN,588.36,477.56,-1.56
01/04/2020,10,CANCUN,880.02,438.32,340.78
01/04/2020,11,CANCUN,872.94,440.95,331.99
01/04/2020,12,CANCUN,883.59,437.54,346.08
01/04/2020,13,CANCUN,836.32,447.16,292.89
01/04/2020,14,CANCUN,884.56,450.9,337.07
01/04/2020,15,CANCUN,867.68,449.48,311.81
01/04/2020,16,CANCUN,895.5,526.19,243.15
01/04/2020,17,CANCUN,880.53,549.26,182.03
01/04/2020,18,CANCUN,847.04,580.55,117.11
01/04/2020,19,CANCUN,876.48,538.45,189.38
01/04/2020,20,CANCUN,888.63,570.57,167.4
01/04/2020,21,CANCUN,914.37,543.06,225.62
01/04/2020,22,CANCUN,897.09,570.2,168.73
01/04/2020,23,CANCUN,908.03,537.58,216.53
01/04/2020,24,CANCUN,905.03,532.1,216.24
02/04/2020,1,CANCUN,1088.97,443.18,527.27
02/04/2020,2,CANCUN,1095.64,439.05,545.28
02/04/2020,3,CANCUN,1009.15,439.6,463.7
02/04/2020,4,CANCUN,965.16,438.53,424.39
02/04/2020,5,CANCUN,1173.89,435.22,642.17
02/04/2020,6,CANCUN,983.53,451.17,435.32
02/04/2020,7,CANCUN,560.75,461.14,-1.33
02/04/2020,8,CANCUN,551.41,448.44,-1.28
02/04/2020,9,CANCUN,853.98,444.32,293.47
02/04/2020,10,CANCUN,896.9,451.06,323.07
02/04/2020,11,CANCUN,985.59,442.7,425.31
02/04/2020,12,CANCUN,612.43,482.04,10.81
02/04/2020,13,CANCUN,1018.78,479.28,413.63
02/04/2020,14,CANCUN,1095.86,507.92,457.87
02/04/2020,15,CANCUN,731.59,516.44,84.36
02/04/2020,16,CANCUN,652.36,515.22,5.18
02/04/2020,17,CANCUN,907.66,463.56,329.69
02/04/2020,18,CANCUN,883.98,536.6,216.79
02/04/2020,19,CANCUN,956.46,479.89,357.92
02/04/2020,20,CANCUN,930.28,548.24,249.49
02/04/2020,21,CANCUN,1019.94,487.54,418.53
02/04/2020,22,CANCUN,1024.38,503.56,390.76
02/04/2020,23,CANCUN,1020.19,447.75,446.66
02/04/2020,24,CANCUN,908.84,458.17,319.22
03/04/2020,1,CANCUN,1125.04,457.62,537.42
03/04/2020,2,CANCUN,1125.25,451.87,552.2
03/04/2020,3,CANCUN,1119,425.7,586.39
03/04/2020,4,CANCUN,1189.03,447.44,633.63
03/04/2020,5,CANCUN,1034.37,448.04,479.69
03/04/2020,6,CANCUN,1068.48,454.57,510.46
03/04/2020,7,CANCUN,577.05,470.15,-1.08
03/04/2020,8,CANCUN,612.54,497.16,-1.59
03/04/2020,9,CANCUN,838.14,413.98,326.82
03/04/2020,10,CANCUN,917.52,399.34,421.14
03/04/2020,11,CANCUN,793.7,401.88,296.84
03/04/2020,12,CANCUN,888.64,415.21,373.28
03/04/2020,13,CANCUN,895.46,403.37,392.7
03/04/2020,14,CANCUN,905.82,416.6,388.64
03/04/2020,15,CANCUN,869.59,426.54,341.49
03/04/2020,16,CANCUN,823.41,418.68,307.63
03/04/2020,17,CANCUN,842.26,431.25,299.27
03/04/2020,18,CANCUN,767.88,510.71,134.69
03/04/2020,19,CANCUN,909.28,524.66,248.32
03/04/2020,20,CANCUN,1121.2,543.11,436.31
03/04/2020,21,CANCUN,840.06,518.15,187.23
03/04/2020,22,CANCUN,1135.03,540.03,442.76
03/04/2020,23,CANCUN,948.96,529.66,263.4
03/04/2020,24,CANCUN,1030.86,546.44,325.79
04/04/2020,1,CANCUN,1032.58,444.13,455.95
04/04/2020,2,CANCUN,1151.46,583.03,404.97
04/04/2020,3,CANCUN,921.37,599.02,159.16
04/04/2020,4,CANCUN,738.09,593.9,-0.67
04/04/2020,5,CANCUN,734.29,593.76,-0.62
04/04/2020,6,CANCUN,787.86,635.68,-0.49
04/04/2020,7,CANCUN,739.56,609.44,-0.55
04/04/2020,8,CANCUN,550.68,453.44,-1.22
04/04/2020,9,CANCUN,542.33,440.33,-1.36
04/04/2020,10,CANCUN,865.03,402.88,360.69
04/04/2020,11,CANCUN,893.8,385.54,410.8
04/04/2020,12,CANCUN,909.13,401.58,406.84
04/04/2020,13,CANCUN,888.41,399.39,388.18
04/04/2020,14,CANCUN,901.66,416.8,380.45
04/04/2020,15,CANCUN,913.49,402.87,406.22
04/04/2020,16,CANCUN,895.38,414.72,374.68
04/04/2020,17,CANCUN,892.92,378.4,416.05
04/04/2020,18,CANCUN,1066.04,440.95,508.47
04/04/2020,19,CANCUN,1179.07,667.59,329.54
