Fecha, Hora, Zona de Carga, Precio Zonal ($/MWh), Componente energia ($/MWh), Componente perdidas ($/MWh), Componente Congestion ($/MWh),,
01/04/2025,1,ACAPULCO,984.09,931.29,136.69,-83.89,0,1
01/04/2025,2,ACAPULCO,965.21,901.5,127.84,-64.12,0,1
01/04/2025,3,ACAPULCO,1565.47,669.13,95.44,800.9,0,1
01/04/2025,4,ACAPULCO,769.47,711.01,100.49,-42.03,0,1
01/04/2025,5,ACAPULCO,743.57,716.08,100.29,-72.8,0,1
01/04/2025,6,ACAPULCO,718.51,695.78,92.23,-69.5,0,1
01/04/2025,7,ACAPULCO,765.53,741.91,98.62,-75,0,1
01/04/2025,8,ACAPULCO,787.91,694.03,93.85,0.04,0,1
01/04/2025,9,ACAPULCO,707.52,621.79,86.43,-0.7,0,1
01/04/2025,10,ACAPULCO,682.5,540.62,74.83,67.06,0,1
01/04/2025,11,ACAPULCO,776.36,433.31,61.18,281.87,0,1
01/04/2025,12,ACAPULCO,982.43,239.49,34.27,708.67,0,1
01/04/2025,13,ACAPULCO,946.59,377.9,54.76,513.93,0,1
01/04/2025,14,ACAPULCO,919.14,278.68,41.02,599.45,0,1
01/04/2025,15,ACAPULCO,1046.27,319.56,47.51,679.2,0,1
01/04/2025,16,ACAPULCO,1044.17,341.22,50.91,652.04,0,1
01/04/2025,17,ACAPULCO,1034.98,536.09,79.84,419.05,0,1
01/04/2025,18,ACAPULCO,998.39,628.88,94.12,275.39,0,1
01/04/2025,19,ACAPULCO,1455.76,897.92,131.59,426.25,0,1
01/04/2025,20,ACAPULCO,2836.42,2703.16,351.63,-218.38,0,1
01/04/2025,21,ACAPULCO,3518.51,3775.34,553.61,-810.44,0,1
01/04/2025,22,ACAPULCO,1806.27,820.38,124.17,861.72,0,1
01/04/2025,23,ACAPULCO,1381.25,1190.61,189.96,0.68,0,1
01/04/2025,24,ACAPULCO,1052.02,908.97,142.84,0.22,0,1
01/04/2025,1,AGUASCALIENTES,972.29,931.29,9.06,31.93,0,1
01/04/2025,2,AGUASCALIENTES,933.84,901.5,8.95,23.4,0,1
01/04/2025,3,AGUASCALIENTES,857.34,669.13,4.79,183.42,0,1
01/04/2025,4,AGUASCALIENTES,748.11,711.01,5.26,31.84,0,1
01/04/2025,5,AGUASCALIENTES,748.64,716.08,6.03,26.53,0,1
01/04/2025,6,AGUASCALIENTES,729.43,695.78,8.31,25.34,0,1
01/04/2025,7,AGUASCALIENTES,778.14,741.91,8.87,27.36,0,1
01/04/2025,8,AGUASCALIENTES,694.45,694.03,0.5,-0.07,0,1
01/04/2025,9,AGUASCALIENTES,607.32,621.79,-9.69,-4.78,0,1
01/04/2025,10,AGUASCALIENTES,546.49,540.62,-10.23,16.1,0,1
01/04/2025,11,AGUASCALIENTES,529.47,433.31,-8.97,105.13,0,1
01/04/2025,12,AGUASCALIENTES,435.05,239.49,-6.7,202.25,0,1
01/04/2025,13,AGUASCALIENTES,526.37,377.9,-8.53,157,0,1
01/04/2025,14,AGUASCALIENTES,396.45,278.68,-8.4,126.18,0,1
01/04/2025,15,AGUASCALIENTES,521.23,319.56,-8.09,209.77,0,1
01/04/2025,16,AGUASCALIENTES,536.97,341.22,-8.71,204.45,0,1
01/04/2025,17,AGUASCALIENTES,654.33,536.09,-9.48,127.73,0,1
01/04/2025,18,AGUASCALIENTES,711.4,628.88,-4.62,87.14,0,1
01/04/2025,19,AGUASCALIENTES,1064.58,897.92,2.55,164.11,0,1
01/04/2025,20,AGUASCALIENTES,2566.88,2703.16,22.29,-158.58,0,1
01/04/2025,21,AGUASCALIENTES,3401.83,3775.34,25.86,-399.36,0,1
01/04/2025,22,AGUASCALIENTES,1111.49,820.38,5.66,285.45,0,1
01/04/2025,23,AGUASCALIENTES,1202.29,1190.61,11.48,0.2,0,1
01/04/2025,24,AGUASCALIENTES,914.75,908.97,5.86,-0.07,0,1
01/04/2025,1,APATZINGAN,1072.84,931.29,85.13,56.42,0,1
01/04/2025,2,APATZINGAN,1022.52,901.5,76.41,44.62,0,1
01/04/2025,3,APATZINGAN,1014.53,669.13,52.12,293.28,0,1
01/04/2025,4,APATZINGAN,824.73,711.01,55.16,58.56,0,1
01/04/2025,5,APATZINGAN,822.09,716.08,55.67,50.34,0,1
01/04/2025,6,APATZINGAN,799.25,695.78,55.39,48.09,0,1
01/04/2025,7,APATZINGAN,858.22,741.91,64.28,52.03,0,1
01/04/2025,8,APATZINGAN,757.87,694.03,63.6,0.25,0,1
01/04/2025,9,APATZINGAN,670.68,621.79,59.05,-10.16,0,1
01/04/2025,10,APATZINGAN,604.64,540.62,49.2,14.82,0,1
01/04/2025,11,APATZINGAN,604.8,433.31,38.51,132.98,0,1
01/04/2025,12,APATZINGAN,540.97,239.49,20.69,280.79,0,1
01/04/2025,13,APATZINGAN,602.31,377.9,34.76,189.65,0,1
01/04/2025,14,APATZINGAN,510.61,278.68,25.77,206.16,0,1
01/04/2025,15,APATZINGAN,605.59,319.56,30.16,255.87,0,1
01/04/2025,16,APATZINGAN,646.58,341.22,33.81,271.55,0,1
01/04/2025,17,APATZINGAN,747.63,536.09,57.35,154.19,0,1
01/04/2025,18,APATZINGAN,810.17,628.88,72.31,108.97,0,1
01/04/2025,19,APATZINGAN,1215.18,897.92,99.85,217.41,0,1
01/04/2025,20,APATZINGAN,3162.21,2703.16,322.77,136.27,0,1
01/04/2025,21,APATZINGAN,4187.29,3775.34,447.72,-35.76,0,1
01/04/2025,22,APATZINGAN,1339.61,820.38,93.25,425.98,0,1
01/04/2025,23,APATZINGAN,1319.66,1190.61,124.2,4.85,0,1
01/04/2025,24,APATZINGAN,998.47,908.97,89.33,0.17,0,1
01/04/2025,1,CABORCA,145.41,931.29,-213.73,-572.15,0,1
01/04/2025,2,CABORCA,159.43,901.5,-217.9,-524.16,0,1
01/04/2025,3,CABORCA,146.91,669.13,-147.17,-375.06,0,1
01/04/2025,4,CABORCA,130.08,711.01,-150.57,-430.36,0,1
01/04/2025,5,CABORCA,131.65,716.08,-154.59,-429.84,0,1
01/04/2025,6,CABORCA,126.54,695.78,-146.79,-422.45,0,1
01/04/2025,7,CABORCA,132.08,741.91,-156.94,-452.89,0,1
01/04/2025,8,CABORCA,128.33,694.03,-155.86,-409.84,0,1
01/04/2025,9,CABORCA,43.04,621.79,-187.73,-391.02,0,1
01/04/2025,10,CABORCA,51.1,540.62,-144.31,-345.2,0,1
01/04/2025,11,CABORCA,20.83,433.31,-147.83,-264.65,0,1
01/04/2025,12,CABORCA,7.9,239.49,-112.83,-118.77,0,1
01/04/2025,13,CABORCA,16.44,377.9,-139.54,-221.92,0,1
01/04/2025,14,CABORCA,8.81,278.68,-135.1,-134.76,0,1
01/04/2025,15,CABORCA,10.08,319.56,-142.83,-166.65,0,1
01/04/2025,16,CABORCA,12.4,341.22,-149.55,-179.27,0,1
01/04/2025,17,CABORCA,33.08,536.09,-172.06,-330.95,0,1
01/04/2025,18,CABORCA,41.86,628.88,-180.85,-406.18,0,1
01/04/2025,19,CABORCA,127.04,897.92,-298.41,-472.47,0,1
01/04/2025,20,CABORCA,582.48,2703.16,-550.48,-1570.21,0,1
01/04/2025,21,CABORCA,642.3,3775.34,-815.62,-2317.41,0,1
01/04/2025,22,CABORCA,378.57,820.38,-170.03,-271.78,0,1
01/04/2025,23,CABORCA,226.6,1190.61,-275.84,-688.18,0,1
01/04/2025,24,CABORCA,305.1,908.97,-224.53,-379.34,0,1
01/04/2025,1,CAMARGO,315.68,931.29,-124.88,-490.73,0,1
01/04/2025,2,CAMARGO,298.01,901.5,-121.29,-482.2,0,1
01/04/2025,3,CAMARGO,196.32,669.13,-95.87,-376.94,0,1
01/04/2025,4,CAMARGO,202.5,711.01,-103.33,-405.18,0,1
01/04/2025,5,CAMARGO,205.32,716.08,-102.21,-408.55,0,1
01/04/2025,6,CAMARGO,200.02,695.78,-96.65,-399.11,0,1
01/04/2025,7,CAMARGO,216.12,741.91,-105.36,-420.44,0,1
01/04/2025,8,CAMARGO,223.16,694.03,-106.48,-364.38,0,1
01/04/2025,9,CAMARGO,158.27,621.79,-94.71,-368.81,0,1
01/04/2025,10,CAMARGO,98,540.62,-76.58,-366.04,0,1
01/04/2025,11,CAMARGO,81.35,433.31,-61.95,-290.01,0,1
01/04/2025,12,CAMARGO,57.31,239.49,-38.78,-143.4,0,1
01/04/2025,13,CAMARGO,85.54,377.9,-57.54,-234.82,0,1
01/04/2025,14,CAMARGO,101.7,278.68,-51.33,-125.65,0,1
01/04/2025,15,CAMARGO,115.61,319.56,-53.92,-150.04,0,1
01/04/2025,16,CAMARGO,133.73,341.22,-53.23,-154.27,0,1
01/04/2025,17,CAMARGO,188.61,536.09,-84.09,-263.39,0,1
01/04/2025,18,CAMARGO,221.15,628.88,-102.45,-305.29,0,1
01/04/2025,19,CAMARGO,594.43,897.92,-150.69,-152.8,0,1
01/04/2025,20,CAMARGO,1067.29,2703.16,-459.33,-1176.54,0,1
01/04/2025,21,CAMARGO,1470.83,3775.34,-525.36,-1779.15,0,1
01/04/2025,22,CAMARGO,634.09,820.38,-140.96,-45.33,0,1
01/04/2025,23,CAMARGO,733.28,1190.61,-185.35,-271.98,0,1
01/04/2025,24,CAMARGO,423.89,908.97,-143.26,-341.82,0,1
01/04/2025,1,CAMPECHE,1135.45,931.29,257.07,-52.92,0,1
01/04/2025,2,CAMPECHE,1107.05,901.5,246.27,-40.72,0,1
01/04/2025,3,CAMPECHE,2150.4,669.13,186.26,1295.01,0,1
01/04/2025,4,CAMPECHE,893.99,711.01,182.33,0.64,0,1
01/04/2025,5,CAMPECHE,839.28,716.08,169.38,-46.18,0,1
01/04/2025,6,CAMPECHE,784.42,695.78,132.74,-44.1,0,1
01/04/2025,7,CAMPECHE,819.98,741.91,125.67,-47.6,0,1
01/04/2025,8,CAMPECHE,822.06,694.03,128.07,-0.04,0,1
01/04/2025,9,CAMPECHE,745.15,621.79,121.01,2.35,0,1
01/04/2025,10,CAMPECHE,728.12,540.62,110.84,76.66,0,1
01/04/2025,11,CAMPECHE,839.4,433.31,81.74,324.35,0,1
01/04/2025,12,CAMPECHE,1072.21,239.49,45.66,787.05,0,1
01/04/2025,13,CAMPECHE,1007.97,377.9,66.38,563.69,0,1
01/04/2025,14,CAMPECHE,989.37,278.68,52.44,658.25,0,1
01/04/2025,15,CAMPECHE,1130.53,319.56,67.65,743.31,0,1
01/04/2025,16,CAMPECHE,1241.32,341.22,73.08,827.02,0,1
01/04/2025,17,CAMPECHE,1389.66,536.09,120.27,733.31,0,1
01/04/2025,18,CAMPECHE,1129.07,628.88,136.53,363.66,0,1
01/04/2025,19,CAMPECHE,3288.04,897.92,207.61,2182.51,0,1
01/04/2025,20,CAMPECHE,3522.4,2703.16,617.67,201.56,0,1
01/04/2025,21,CAMPECHE,3932.44,3775.34,870.72,-713.62,0,1
01/04/2025,22,CAMPECHE,3827.25,820.38,190.81,2816.06,0,1
01/04/2025,23,CAMPECHE,6170.77,1190.61,278.03,4702.13,0,1
01/04/2025,24,CAMPECHE,6176.08,908.97,227.67,5039.44,0,1
01/04/2025,1,CANCUN,14372.35,931.29,276.22,13164.84,0,1
01/04/2025,2,CANCUN,14094.28,901.5,260.74,12932.04,0,1
01/04/2025,3,CANCUN,12697.58,669.13,195.69,11832.76,0,1
01/04/2025,4,CANCUN,5805.55,711.01,191.75,4902.79,0,1
01/04/2025,5,CANCUN,847.84,716.08,177.94,-46.18,0,1
01/04/2025,6,CANCUN,792.99,695.78,141.31,-44.1,0,1
01/04/2025,7,CANCUN,829.92,741.91,135.61,-47.6,0,1
01/04/2025,8,CANCUN,5645.37,694.03,139.13,4812.22,0,1
01/04/2025,9,CANCUN,767.65,621.79,143.51,2.35,0,1
